id,posicao,idade,liga,altura,jogos,minutos,gols,assistencias,finalizacoes,passes_certos_pct,dribles_certos,desarmes,interceptacoes,duelos_ganhos_pct,velocidade,indice_popularidade,valor_mercado_milhoes
521,LAT,21,B,1.74,34,2016,1,8,12,87.1,1.1,1.3,2.1,52.4,84,50,1.4
522,VOL,20,B,1.64,23,1524,1,1,11,84.2,1.3,5.5,2.9,57.0,84,50,0.7
523,ATA,25,B,1.86,22,1943,13,9,72,74.5,4.6,2.7,1.5,48.3,83,60,5.0
524,ATA,24,A,1.92,42,3008,24,10,113,83.9,0.5,3.7,2.8,57.7,80,100,11.3
525,MEI,25,C,1.81,28,2188,3,14,10,72.7,1.3,1.6,2.0,54.4,91,71,2.4
526,MEI,24,B,1.74,20,1682,6,2,32,79.5,3.1,3.8,1.6,57.5,61,25,0.5
527,MEI,20,A,1.89,16,784,3,8,18,91.5,2.0,0.7,2.1,56.9,70,50,0.7
528,ZAG,19,B,1.73,7,466,1,0,0,78.6,0.2,2.7,2.7,66.1,88,26,0.4
529,ZAG,25,B,1.83,21,1788,1,0,3,77.1,2.2,4.3,1.6,53.3,72,41,1.7
530,ZAG,27,A,1.82,28,1459,2,1,12,69.6,1.7,3.7,2.8,55.9,83,100,8.4
531,ATA,27,B,1.83,37,2902,21,4,126,79.9,3.3,1.5,1.2,40.9,67,77,6.2
532,GOL,27,C,1.8,30,2142,0,0,9,80.2,1.9,3.4,2.4,47.2,67,45,0.2
533,ZAG,27,C,1.84,41,2903,4,3,13,86.7,1.2,2.4,2.9,57.3,76,29,0.6
534,ZAG,27,A,1.97,35,2684,3,1,14,67.7,2.6,3.4,2.0,51.9,71,40,1.6
535,LAT,17,A,1.88,36,1717,6,9,26,87.9,2.4,0.7,0.6,34.7,74,40,0.2
536,ZAG,16,B,1.83,22,1510,2,0,10,76.8,1.7,2.5,1.8,53.6,86,31,0.2
537,ZAG,25,C,1.8,32,2303,1,2,9,79.9,1.9,0.6,2.1,50.3,75,24,0.2
538,ATA,21,A,1.72,6,300,6,1,43,68.8,2.1,0.0,1.1,43.2,75,32,0.2
539,MEI,31,B,1.94,38,3059,8,10,42,79.9,0.5,2.7,1.1,41.7,76,47,1.5
540,LAT,25,C,1.77,16,1066,1,2,5,86.1,0.0,2.7,0.8,55.4,79,42,0.2
541,VOL,22,A,1.96,29,1345,3,3,16,83.6,2.1,4.3,1.2,42.9,87,65,3.4
542,LAT,30,C,1.62,37,1879,1,7,5,84.7,0.0,1.7,3.2,59.7,85,24,1.2
543,ZAG,27,B,1.83,38,2683,3,2,21,87.1,3.4,4.5,2.6,70.0,80,100,14.0
544,ATA,20,C,1.8,22,1155,8,1,50,84.4,3.2,1.9,1.3,57.2,95,36,2.0
545,ZAG,29,B,1.82,28,1652,1,3,2,73.5,2.8,5.0,1.9,59.8,92,54,3.9
546,ATA,26,C,1.69,46,4128,24,5,88,66.6,2.3,1.2,2.6,53.1,82,55,1.8
547,ZAG,27,A,1.85,33,1920,3,1,18,88.6,2.9,4.5,2.3,56.4,86,96,7.1
548,ZAG,29,A,1.88,42,1904,1,1,11,79.3,0.8,3.6,2.1,40.3,85,71,3.2
549,VOL,25,A,1.84,29,1321,4,7,20,74.7,0.1,2.9,3.0,54.8,81,55,1.3
550,LAT,24,C,1.79,55,4226,4,12,19,71.6,2.0,4.4,3.0,50.3,79,39,1.1
551,LAT,22,C,1.82,31,1989,3,4,9,64.8,2.7,0.1,1.4,66.2,79,61,0.2
552,MEI,27,B,1.78,29,2020,8,9,25,84.7,3.5,0.2,1.2,61.6,67,41,1.4
553,LAT,24,A,1.91,25,1760,1,7,2,75.6,0.0,2.2,2.0,53.1,81,44,2.3
554,ZAG,17,C,1.76,24,1485,0,1,15,88.1,1.5,5.1,2.9,45.5,71,48,0.4
555,VOL,24,A,1.77,29,1651,4,5,17,78.2,0.0,3.0,1.5,48.9,88,36,1.8
556,ZAG,21,A,2.01,32,1451,0,0,0,82.1,0.0,5.5,1.7,68.0,77,45,1.7
557,ZAG,29,A,1.85,14,1055,0,0,0,82.2,2.4,3.0,2.5,44.8,71,30,1.7
558,LAT,30,C,1.69,56,3201,2,7,19,83.5,0.0,2.1,0.0,58.3,92,15,0.2
559,ATA,25,A,1.78,21,1859,12,3,64,68.7,2.1,2.5,0.9,47.1,71,52,0.9
560,MEI,28,A,1.75,34,1778,8,14,47,76.4,1.0,3.0,1.6,66.4,82,54,3.5
561,MEI,22,B,1.8,24,1087,7,9,48,82.6,2.7,2.7,1.2,55.1,79,47,1.7
562,ATA,29,A,1.74,14,695,13,2,59,81.2,5.2,2.4,2.1,43.3,81,100,7.6
563,MEI,22,C,1.95,26,1487,6,11,26,73.2,2.2,1.7,1.6,45.8,74,26,1.4
564,VOL,27,A,1.79,25,1221,5,5,13,69.2,0.8,2.7,2.3,56.3,76,30,0.6
565,MEI,17,B,1.79,35,2544,6,7,37,66.9,1.7,0.4,1.8,73.2,73,30,0.5
566,ZAG,20,B,1.79,36,1900,5,4,29,85.8,1.7,2.0,3.0,53.0,64,31,0.2
567,ATA,25,C,1.85,36,1665,18,7,121,82.2,2.7,2.1,1.6,47.4,90,45,3.9
568,ATA,25,B,1.79,30,1818,14,6,60,66.0,1.4,1.9,1.6,68.9,81,55,3.3
569,VOL,27,C,1.88,50,3568,11,10,50,81.8,1.9,3.1,2.9,59.0,78,44,1.4
570,MEI,21,A,1.87,36,2690,10,16,49,75.7,2.0,2.7,1.9,48.8,75,74,4.1
571,VOL,20,C,1.8,30,2597,2,6,15,86.7,0.5,4.5,2.5,71.9,92,36,1.6
572,ZAG,29,A,1.73,31,1464,2,3,16,78.0,0.0,2.2,2.0,42.4,88,27,0.2
573,LAT,25,A,1.93,22,1728,4,3,20,75.1,2.1,0.4,1.0,45.5,72,40,0.2
574,ZAG,24,B,1.87,38,1920,1,2,8,77.3,1.1,5.3,2.8,64.0,73,90,5.7
575,GOL,26,B,1.78,19,889,0,0,4,80.1,2.1,3.1,2.2,32.7,68,30,0.2
576,ZAG,26,A,1.72,39,2032,1,4,9,87.1,2.8,4.1,3.7,39.5,76,75,6.5
577,LAT,25,B,1.8,35,2290,4,17,23,76.8,0.9,1.8,0.7,44.5,82,39,1.8
578,VOL,22,B,1.83,32,2632,3,6,17,69.9,2.0,3.6,3.2,61.7,82,75,3.9
579,MEI,24,A,1.8,14,977,3,1,17,87.0,2.4,1.0,0.2,50.6,73,41,0.2
580,MEI,28,A,1.83,33,1727,7,14,32,76.6,1.5,2.3,2.6,43.1,77,74,2.5
581,LAT,28,C,1.7,45,2559,2,5,8,74.1,0.8,2.1,0.7,40.0,71,45,0.2
582,ATA,22,A,1.84,44,2910,20,6,96,67.1,2.4,1.6,0.9,62.1,76,69,3.6
583,MEI,21,B,1.81,39,2690,18,14,87,75.1,2.6,1.1,1.5,58.5,74,88,4.1
584,ATA,20,A,1.82,11,627,11,4,68,78.1,3.7,2.0,1.8,49.8,82,90,4.4
585,MEI,19,A,1.74,35,2858,10,12,38,76.2,2.3,2.7,1.9,47.3,75,28,2.0
586,LAT,28,A,1.77,25,1261,0,10,0,82.3,1.5,0.0,1.9,47.4,98,61,3.0
587,ATA,30,B,1.84,26,1465,11,4,64,79.0,2.1,0.6,1.5,50.0,86,41,1.9
588,LAT,26,B,1.64,33,1604,1,5,5,65.7,0.1,0.2,0.9,38.3,95,28,0.2
589,ATA,28,C,1.67,27,2196,14,5,94,73.6,1.1,0.0,3.3,35.1,78,53,0.7
590,VOL,23,A,1.81,28,2269,3,6,13,80.2,0.5,4.1,3.1,70.3,87,85,4.8
591,ZAG,25,A,1.9,27,2108,2,2,11,96.2,0.0,4.3,1.1,45.9,66,49,1.5
592,LAT,24,A,1.89,21,1349,2,3,12,79.6,2.3,3.0,0.8,49.8,76,46,0.6
593,ZAG,33,A,1.9,36,1719,1,2,6,74.9,1.9,6.1,1.9,54.3,82,37,2.3
594,ATA,27,B,1.87,45,3056,22,6,107,71.1,2.3,0.7,1.3,51.8,80,100,7.4
595,ZAG,25,B,1.78,31,2158,4,3,30,86.3,0.0,3.8,1.4,47.2,82,72,2.0
596,LAT,26,A,1.72,34,2149,5,7,23,92.9,0.6,1.6,0.0,50.3,69,39,0.2
597,ATA,19,C,1.77,32,2651,18,6,102,66.8,5.1,0.6,2.4,54.2,82,58,1.6
598,VOL,26,A,1.75,11,512,3,3,19,74.1,2.1,5.1,2.0,49.4,82,100,7.0
599,ATA,22,A,1.85,35,1935,23,6,109,81.9,1.8,2.3,2.0,51.7,68,100,11.2
600,ZAG,32,B,1.87,22,1026,1,1,3,71.5,0.0,2.3,1.3,56.9,77,40,0.2
601,GOL,22,A,1.73,21,1129,0,0,3,73.6,2.8,1.7,0.9,42.2,63,35,0.2
602,ATA,24,A,1.8,22,1348,7,3,44,78.1,1.6,0.4,0.6,59.1,86,51,1.9
603,GOL,26,A,1.85,46,3394,0,0,0,88.0,0.6,1.2,1.9,51.9,70,45,0.2
604,MEI,32,A,1.88,40,3389,16,16,64,67.4,1.1,2.7,1.8,62.7,67,64,2.8
605,ZAG,28,C,1.74,37,3130,2,1,7,75.3,0.7,5.6,2.4,57.2,76,58,1.7
606,GOL,21,A,1.83,32,2473,0,0,2,79.9,1.1,2.1,1.5,54.6,72,26,0.2
607,ZAG,32,B,1.82,35,1622,3,1,16,83.2,0.7,3.8,4.2,45.9,87,59,1.4
608,ZAG,30,A,1.82,25,1533,3,3,10,86.3,1.3,2.0,2.4,47.6,75,37,0.4
609,GOL,20,C,1.83,26,2119,0,0,0,70.7,0.1,2.4,1.1,56.6,71,47,0.2
610,GOL,21,C,1.85,18,823,0,0,0,90.2,1.3,1.7,2.5,50.8,70,43,0.3
611,MEI,24,B,1.74,27,2423,12,6,76,80.3,2.0,1.0,1.6,45.2,71,49,2.5
612,MEI,24,A,1.78,36,2920,13,14,78,80.6,2.8,0.3,1.5,56.2,70,91,6.5
613,VOL,17,B,1.82,34,2846,8,1,31,81.9,0.3,3.7,2.1,46.0,83,19,0.2
614,ZAG,25,B,1.88,28,1312,0,1,0,84.3,1.4,3.9,2.6,60.2,66,44,2.3
615,LAT,30,B,1.8,14,727,2,1,7,90.9,0.7,0.7,0.7,51.2,91,39,0.2
616,VOL,18,A,1.76,36,1800,5,7,27,76.3,2.4,4.8,0.7,56.5,65,43,1.6
617,ATA,23,A,1.71,32,1849,17,7,71,66.3,3.5,1.3,0.0,56.3,69,82,6.0
618,MEI,30,B,1.8,13,634,3,3,12,76.9,2.9,1.9,1.3,58.2,95,95,5.0
619,ZAG,26,A,1.98,23,1494,0,1,0,80.6,1.6,2.5,2.4,54.2,98,48,1.8
620,MEI,27,A,1.78,43,2211,16,14,85,87.7,3.0,1.6,1.3,59.1,86,100,13.9
